id,user_id,culture_id,puntuacion,texto,created_at
1,1587,0,3,"Está bien para verlo una vez, pero le falta renovación.",2026-05-01 16:43:00
2,1326,0,4,Sitio bonito con mucha historia local. Recomendado.,2026-04-07 13:22:00
3,211,0,5,Espectacular puesta en escena. Un orgullo cultural.,2026-04-26 20:32:00
4,1833,0,2,Demasiado caro para la poca gestión cultural que tiene.,2026-05-03 14:05:00
5,1759,0,4,Instalaciones cuidadas y explicaciones claras.,2026-04-18 13:29:00
6,1810,0,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-05-21 20:36:00
7,1549,0,3,"Está bien para verlo una vez, pero le falta renovación.",2026-05-01 14:23:00
8,1202,0,5,Espectacular puesta en escena. Un orgullo cultural.,2026-03-14 15:57:00
9,7,0,4,Instalaciones cuidadas y explicaciones claras.,2026-04-18 10:27:00
10,341,0,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-05-26 16:25:00
11,294,0,4,Instalaciones cuidadas y explicaciones claras.,2026-04-09 18:59:00
12,1051,1,4,Sitio bonito con mucha historia local. Recomendado.,2026-04-18 19:19:00
13,80,1,4,Instalaciones cuidadas y explicaciones claras.,2026-05-26 17:44:00
14,391,1,5,Espectacular puesta en escena. Un orgullo cultural.,2026-04-26 15:12:00
15,1972,1,2,Bastante aburrido y sin apenas carteles informativos.,2026-04-27 09:02:00
16,313,1,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-05-21 16:51:00
17,1355,1,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-04-16 12:16:00
18,1522,1,4,Instalaciones cuidadas y explicaciones claras.,2026-04-16 17:49:00
19,1741,1,5,Espectacular puesta en escena. Un orgullo cultural.,2026-04-26 17:42:00
20,1284,1,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-04-27 14:29:00
21,1483,1,2,Poco cuidado y descuidado. Una pena ver este patrimonio así.,2026-05-15 20:50:00
22,1723,1,3,Aceptable. El patrimonio es bonito pero la visita es corta.,2026-04-09 11:27:00
23,982,2,4,Instalaciones cuidadas y explicaciones claras.,2026-03-12 09:20:00
24,1329,2,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-05-19 21:59:00
25,1572,2,4,Sitio bonito con mucha historia local. Recomendado.,2026-05-23 11:34:00
26,611,2,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-05-16 11:38:00
27,1298,2,3,Aceptable. El patrimonio es bonito pero la visita es corta.,2026-04-17 10:26:00
28,41,2,2,Demasiado caro para la poca gestión cultural que tiene.,2026-03-06 21:50:00
29,1424,2,4,Instalaciones cuidadas y explicaciones claras.,2026-05-10 15:24:00
30,245,2,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-03-17 15:00:00
31,625,2,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-03-13 09:53:00
32,1955,2,5,Espectacular puesta en escena. Un orgullo cultural.,2026-04-21 21:01:00
33,1727,2,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-04-17 14:43:00
34,1370,2,4,Sitio bonito con mucha historia local. Recomendado.,2026-04-15 10:31:00
35,1171,3,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-05-26 11:10:00
36,528,3,4,Instalaciones cuidadas y explicaciones claras.,2026-03-28 15:17:00
37,1639,3,4,Sitio bonito con mucha historia local. Recomendado.,2026-04-18 10:24:00
38,1961,3,4,Sitio bonito con mucha historia local. Recomendado.,2026-04-06 11:16:00
39,1892,3,3,"Está bien para verlo una vez, pero le falta renovación.",2026-04-16 13:29:00
40,199,3,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-05-11 16:28:00
41,105,3,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-05-17 21:17:00
42,536,3,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-03-28 12:00:00
43,1720,3,1,Un desastre absoluto. Instalaciones cerradas sin avisar y mala atención.,2026-05-15 14:26:00
44,99,3,3,Aceptable. El patrimonio es bonito pero la visita es corta.,2026-05-26 11:01:00
45,589,3,3,"Está bien para verlo una vez, pero le falta renovación.",2026-03-28 14:35:00
46,56,3,3,Aceptable. El patrimonio es bonito pero la visita es corta.,2026-05-19 12:07:00
47,1680,3,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-04-23 17:48:00
48,675,4,5,Espectacular puesta en escena. Un orgullo cultural.,2026-03-09 09:26:00
49,1776,4,5,Espectacular puesta en escena. Un orgullo cultural.,2026-03-14 09:06:00
50,1758,4,3,Interesante pero la organización se queda algo justa.,2026-04-01 10:06:00
51,838,4,3,Aceptable. El patrimonio es bonito pero la visita es corta.,2026-05-18 14:20:00
52,1380,4,5,Espectacular puesta en escena. Un orgullo cultural.,2026-05-20 19:45:00
53,172,4,1,Pésima gestión del espacio cultural. Una estafa.,2026-04-02 14:38:00
54,1480,4,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-04-20 15:43:00
55,1323,4,2,Poco cuidado y descuidado. Una pena ver este patrimonio así.,2026-04-22 17:43:00
56,1597,4,5,Espectacular puesta en escena. Un orgullo cultural.,2026-04-13 14:03:00
57,1858,4,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-04-23 09:18:00
58,597,4,4,Instalaciones cuidadas y explicaciones claras.,2026-04-11 20:49:00
59,331,4,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-04-10 14:37:00
60,1111,5,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-03-18 19:45:00
61,405,5,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-05-22 15:56:00
62,345,5,5,Espectacular puesta en escena. Un orgullo cultural.,2026-03-26 12:01:00
63,373,5,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-05-09 16:26:00
64,383,5,3,"Está bien para verlo una vez, pero le falta renovación.",2026-03-11 19:37:00
65,1888,5,5,Imprescindible. Una joya de nuestro patrimonio muy bien conservada.,2026-03-27 17:02:00
66,949,5,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-05-28 13:21:00
67,1829,5,4,Instalaciones cuidadas y explicaciones claras.,2026-05-17 14:03:00
68,1309,5,5,"Una experiencia magnífica, muy didáctica e interesante.",2026-03-27 19:15:00
69,756,5,3,"Está bien para verlo una vez, pero le falta renovación.",2026-03-02 19:32:00
70,1357,5,4,Muy interesante y bien organizado. Vale la pena la entrada.,2026-04-24 20:23:00
